Product_name,Product_Link,Rating,Price
"2020 Apple iPad Air with A14 Bionic chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Sky Blue (4th Generation)",,4.8 out of 5 stars,"50,900"
"2019 Apple iPad Mini with A12 Bionic chip (7.9-inch/20.1 cm, Wi‑Fi, 64GB) - Space Grey (5th Generation)",,4.6 out of 5 stars,"33,900"
"2021 Apple iPad Pro with Apple M1 chip (11-inch/27.96 cm, Wi-Fi, 512GB) - Silver (3rd Generation)",,4.7 out of 5 stars,"95,900"
"2021 Apple iPad Pro with Apple M1 chip (12.9-inch/32.77 cm, Wi-Fi, 256GB) - Silver (5th Generation)",,4.8 out of 5 stars,"1,08,900"
"I KALL N19 4G Calling Tablet (8 Inch HD Display, 2GB Ram, 16GB Storage, Dual Sim, 4G Volte) (Black)",,2.9 out of 5 stars,"6,199"
"Lenovo Tab M8 (2nd Gen) FHD (20.32 cm (8-inch), 4GB, 64GB, WiFi Only) Platinum Grey",,4.2 out of 5 stars,"13,999"
"Lenovo Tab M10 HD 2nd Gen (25.65 cm (10.1 inch), 2 GB, 32 GB, Wi-Fi) with Metallic Body and Octa core Processor",,4.1 out of 5 stars,"10,999"
"Samsung Galaxy Tab A7 26.31 cm (10.4 inch), Slim Metal Body, Quad Speakers with Dolby Atmos, RAM 3 GB, ROM 32 GB Expandable, Wi-Fi-only, Grey",,4.4 out of 5 stars,"17,999"
"Lenovo Yoga Smart Tablet with The Google Assistant 25.65 cm (10.1 inch, 4GB, 64GB, WiFi + 4G LTE), Iron Grey",,4.4 out of 5 stars,"20,999"
"I KALL N17 Tablet (8 Inch Display, 3GB Ram, 32GB Storage, 4G Volte, Calling, WiFi) (Black)",,5.0 out of 5 stars,"7,499"
"Samsung Galaxy Tab S6 Lite 26.31 cm (10.4 inch), S-Pen in Box, Slim and Light, Dolby Atmos Sound, 4 GB RAM, 64 GB ROM, Wi-Fi Tablet, Angora Blue",,4.5 out of 5 stars,"27,999"
"Samsung Galaxy Tab S7 27.81 cm (11 inch) 120 Hz Display, S-Pen in Box, Quad Speakers, 6 GB RAM, 128 GB Internal,Wi-Fi + LTE, Mystic Black",,4.6 out of 5 stars,"63,999"
"Lenovo Tab M10 FHD Plus Tablet (26.16 cm (10.3-inch), 4GB, 128GB, Wi-Fi + LTE, Volte Calling), Platinum Grey",,4.0 out of 5 stars,"19,490"
"Samsung Galaxy Tab A7 Lite 22.05 cm (8.7 inch), Slim Metal Body, Dolby Atmos Sound, RAM 3 GB, ROM 32 GB Expandable, Wi-Fi-only Tablet, Gray",,4.1 out of 5 stars,"11,999"
"Samsung Galaxy Tab S7 FE 31.5 cm (12.4 inch) Large Display, Slim Metal Body, Dolby Atmos Sound, S-Pen in Box, RAM 4 GB, ROM 64 GB Expandable, Wi-Fi Tablet, Mystic Black",,4.4 out of 5 stars,"41,999"
"elevn eTab11 Max Pro Tablet with Keyboard (10.1-inch, Magnetic Docking Keyboard, 4GB | 128GB, Wi-Fi + 4G LTE + Voice Calling, Dual Sim, 7000 mAh Battery), Aluminium Grey",,5.0 out of 5 stars,"16,990"
,,,
,,,
,,,
"Lenovo Ideapad Duet Chromebook Tablet 25.65 cm (10.1 inch, 4 GB, 128 GB, Wi-Fi Only), Ice Blue, Iron Grey",,4.1 out of 5 stars,"26,033"
"Lenovo Tab M8 HD Tablet (8-inch, 2GB, 32GB, Wi-Fi Only), Grey",,4.2 out of 5 stars,"8,999"
"Lenovo Tab M7 (7-inch/17.78 cm, 2GB, 32 GB,Wi-fi+4G LTE), Onyx Black (Tab M7-7305X)",,3.5 out of 5 stars,"9,012"
"I KALL N17 4G Calling Tablet (8 Inch HD Display, 3GB Ram, 32GB Storage), Green",,2.6 out of 5 stars,"7,499"
"DOMO Slate SS4 1GB RAM / 32GB Storage 4G Volte and LTE Calling Tablet PC with GPS, Bluetooth, QuadCore CPU, Dual SIM (Black)",,5.0 out of 5 stars,"5,555"
"Lenovo Tab P11 (11 inch / 27.94 cms, 4 GB, 128 GB, Wi-Fi + LTE, Data Only), Platinum Grey",,4.0 out of 5 stars,"24,999"
"Panasonic Tab 8 HD Tablet (20.32 cm (8 Inch), 3GB | 32GB, Wi-Fi + 4G LTE + Voice Calling, Dual Sim), Black",,3.8 out of 5 stars,"10,999"
"Lenovo Tab Yoga 11 (11 inch/ 27.94 cm, 4GB, 128GB,Wi-Fi+ LTE), Storm Grey",,4.2 out of 5 stars,"27,999"
realme Pad 4 GB RAM 64 GB ROM 10.4 inch with Wi-Fi+4G Tablet (Gray),,4.3 out of 5 stars,"19,400"
"I KALL N3 4G Dual Sim Calling Tablet (7 Inch Display, 4GB Ram, 32GB Storage) (Red)",,5.0 out of 5 stars,"6,399"
"Lenovo Tab P11 Pro (29.21 cm (11.5 inch), 6GB, 128GB, Wi-Fi+LTE), Slate Grey",,4.2 out of 5 stars,"42,999"
"Lenovo Calling Tab M8 2nd Gen Tablet (8-inch, 2GB, 32GB, Wi-Fi + 4G LTE + Calling), Iron Grey",,4.1 out of 5 stars,"10,948"
"Lenovo Tab M10 HD Tablet (10.1 inch, 2GB, 32GB, Wi-Fi Only) Slate Black",,4.1 out of 5 stars,"10,390"
"Wishtel IRA ZPAD 10.1 inch 1080p Full HD, IPS LCD Tablet with Keyboard (RAM 2GB, ROM 32GB, Wi-Fi + 4G Volte Calling Tablet), Black",,4.3 out of 5 stars,"10,499"
Lenovo Smart Tab M10 FHD Plus (2nd Gen) with Google Assistant (4GB/ 128GB/ 10.3'' inch/WiFi + Calling) ZA6S0003IN,,5.0 out of 5 stars,"20,799"
"(Renewed) Lenovo Tab M8 FHD (8 inch, 4 GB, 64 GB, Wi-Fi+LTE, Calling)",,3.3 out of 5 stars,"13,514"
,,,
,,,
,,,
Lenovo Tab V7 PB-6505MC 2GB RAM 16GB Storage Qualcomm Snapdragon 450 Octa Core 5180mAh 6.9inch (Black),,3.5 out of 5 stars,"7,890"
(Renewed) Lenovo Tab M7 (1GB 16GB) (Iron Grey) 4g LTE,,3.2 out of 5 stars,"6,489"
"(Renewed) Lenovo Tab P11 (11 inch / 27.94 cms, 4 GB, 128 GB, Wi-Fi + LTE, Data Only), Platinum Grey",,4.7 out of 5 stars,"21,249"
"Lenovo Tab K10 FHD (10.3 inch (26.16 cm), 3GB, 32GB, Wi-Fi+LTE, Calling), Abyss Blue",,4.2 out of 5 stars,"16,999"
FUSION5 10.1 inch/25.65 cm 1080p Full HD 4GB RAM 64GB Storage Octa Core 4G Android 10 Cellular Tablet PC (Silver),,4.2 out of 5 stars,"15,999"
"Lenovo Tab M8 HD 2nd Gen (8 inch/20 cm, 3GB, 32 GB, Wi-Fi)",,3.9 out of 5 stars,"9,999"
"Lenovo Tab Ideapad Duet 3 26.16 cm (10.3 inch, 4 GB, 128 GB, Wi-Fi) with Bluetooth Keyboard and Digital Pen",,3.7 out of 5 stars,"29,009"
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Lenovo Tab M7 17.78 cm (7-inch, 1GB, 16 GB, Wi-fi+4G LTE), Iron Grey",,3.2 out of 5 stars,"8,149"
"I KALL N5 Calling Tablet (7 Inch, 2GB, 32GB, 4G with Voice Call, Dual Sim) (Black)",,,"5,999"
"(Renewed) Lenovo Tab Ideapad Duet 3 (10.3 inch, 4 GB, 128 GB, Wi-Fi) with Bluetooth Keyboard and Digital Pen",,4.0 out of 5 stars,"26,500"
"Lenovo Tab M7 Tablet (17.78 cm (7-inch), 1GB, 16 GB, Wi-Fi Only)",,3.4 out of 5 stars,"7,089"
"(Renewed) Panasonic Tab 8 HD Tablet (8 inch, 3GB/32GB, Wi-Fi + 4G LTE + Voice Calling, Dual Sim), Black",,3.5 out of 5 stars,"8,999"
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Lenovo Tab M10 HD Tablet (10.1-inch, 2GB, 32GB, Wi-Fi + 4G LTE, Volte Calling), Slate Black",,4.0 out of 5 stars,"12,993"
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
,,,
,,,
,,,
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Lenovo Tab M10 HD 2nd Gen (10.1 inch, 4 GB, 64 GB, Wi-Fi+LTE) + Cover",,4.7 out of 5 stars,"17,256"
"Fusion5 4G Tablet (2GB RAM, 32GB Storage, Wi-Fi + 4G LTE + Voice Calling) (White, 10.1 Inch) 25.65 cm",,3.9 out of 5 stars,"8,999"
"Videotronix Designer Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Designer Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Designer Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"2020 Apple iPad Pro with A12Z Bionic chip (11-inch/27.96 cm, Wi-Fi, 512GB) - Silver (2nd Generation)",,4.7 out of 5 stars,"98,900"
"Samsung Galaxy Tab A7 26.31 cm (10.4 inch), Slim Metal Body, Quad Speakers with Dolby Atmos, RAM 3 GB, ROM 32 GB Expandable, Wi-Fi+4G, Grey + 1 Cover",,4.5 out of 5 stars,"22,086"
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
,,,
,,,
,,,
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Apple iPad Air (10.5-inch, Wi-Fi, 64GB) - Gold (3rd Generation)",,4.6 out of 5 stars,"44,900"
Apple iPad Mini 7.9 inch Wi-Fi Only  64 GB Space Grey+Apple Pencil (1st Generation),,5.0 out of 5 stars,
"Videotronix Designer Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Designer Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Tab M10 FHD Plus Tablet (10.3-inch, 4GB, 128GB, Wi-Fi + LTE, Volte Calling), Platinum Grey With(1PCS Laptop Bagpack with 2350/-) Free",,,
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Designer Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
,,,
,,,
,,,
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.5 inch",,,599
